Capítulo 1: Breve teoría sobre Testing Unitario; Capitulo1 - Testing Unitario.md; \ALM
Parallel Series: Aclarando conceptos base; Parallel Series - Aclarando conceptos base.md; \net-dev\Parallel
Parallel Series: La clase estática Parallel; Parallel Series - La clase estática Parallel.md; \net-dev\Parallel
Parallel Series - Luces, cámara, Action; Parallel Series - Luces, cámara, Action.md; \net-dev\Parallel
Parallel Series: Parallel LINQ (PLINQ); Parallel Series - Parallel LINQ.md; \net-dev\Parallel
Parallel Series - Problemas de concurrencia; Parallel Series - Problemas de concurrencia.md; \net-dev\Parallel
Parallel Series: Tasks, la 8ª maravilla; Parallel Series - Tasks la 8a maravilla.md; \net-dev\Parallel
Parallel Series: Un poco de historia; Parallel Series - Un poco de historia.md; \net-dev\Parallel
Cómo funciona DNS – Parte 1; Como-funciona-DNS1.md; \servidores\architecture
Cómo funciona DNS – Parte 2; Como-funciona-DNS2.md; \servidores\architecture
Controladores de Dominio: Tolerancia a Fallas; Controladores-de-Dominio.md; \servidores\architecture
Model Driven Architecture (MDA); Model-Driven-Architecture.md; \servidores\architecture
Windows Server: Restaurar un Controlador de Dominio Desde una Instantánea; Restaurar-un-Controlador-de-Dominio.md; \servidores\architecture
Cómo crear un reporte flexible usando Jerarquías (Recursivo); Como crear un reporte flexible usando Jerarquias.md; \servidores\sql-server
Cómo instalar SQL Server 2012 en Windows Server Core; Como instalar SQL Server 2012 en Windows Server Core.md; \servidores\sql-server
Contadores de Rendimiento para diagnóstico y afinación de SQL Server; Contadores de Rendimiento de SQL Server.md; \servidores\sql-server
Crear tabla a partir de un texto separado por comas (CSV); Crear tabla a partir de un texto separado por comas.md; \servidores\sql-server
Detectar cambios en una base de datos; Detectar cambios en una base de datos.md; \servidores\sql-server
Generación de Datos Acumulados por Grupos; Generacion de Datos Acumulados por Grupos.md; \servidores\sql-server
Generando imágenes (códigos de Barras) en Reporting Services; Generando imagenes.md; \servidores\sql-server
Cómo realizar una instalación de SQL Server 2012 en Windows 2012 Core; instalacion de SQL Server 2012 en Windows 2012 Core.md; \servidores\sql-server
Optimización de Consultas Parte 1 - Generalidades; Optimizacion n. 1 - Generalidades.md; \servidores\sql-server
Optimización de Consultas Parte 2 - Anti Semi Joins; Optimizacion n. 2 - Anti Semi Joins.md; \servidores\sql-server
Optimización de Consultas Parte 3 - Recopilación de procedimientos Almacenados; Optimizacion n.3 - Recopilacion de procedimientos Almacenados.md; \servidores\sql-server
Pivot dinámico con SQL Server; Pivot dinamico con SQL Server.md; \servidores\sql-server
Como Respaldar (BackUp) Llaves de cifrado de Reporting Services; Respaldar Llaves de cifrado de Reporting Services.md; \servidores\sql-server
Restaurar (Restore) llaves de cifrado de Reporting Services; Restaurar llaves de cifrado de Reporting Services.md; \servidores\sql-server
10 comandos PowerShell para usar en Skype4B PARTE I; 10-comandos-PowerShell-para-Skype4B-PARTE1.md; \servidores\windows-server
10 comandos PowerShell para usar en Skype4B PARTE II; 10-comandos-PowerShell-para-Skype4B-PARTE2.md; \servidores\windows-server
Activación automática de conexiones VPN y VPN Diagnóstico Mejoras en Windows 8.1; ActivacionAutoVPN.md; \servidores\windows-server
Windows Server 2012 Essentials – Característica de Backup; Caracteristica de Backup.md; \servidores\windows-server
Clonando DCs de Windows Server 2012; Clonando DC.md; \servidores\windows-server
Windows Server 2012: Demostración Conectando Clientes a la Red por VPN; Conectando-Clientes-por-VPN.md; \servidores\windows-server
Windows Server 2012 – Configuración de Windows PowerShell Web Access; Configuracion-de-WPWA.md; \servidores\windows-server
Windows Server 2012 – Contraseñas y Bloqueo de Cuentas; Contrasenas-y-Bloqueo-de-Cuentas.md; \servidores\windows-server
Creando entradas de blog en SharePoint 2010 desde el envío de correo; Creando entradas de blog en SharePoint 2010.md; \servidores\windows-server
Windows Server 2012 Essentials – Crear carpetas compartidas; Crear carpetas compartidas.md; \servidores\windows-server
¿Qué hay de nuevo en Windows Server 2012 R2? - Escenarios de extremo a extremo a través de productos; EscenariosDeExtremoAextremo.md; \servidores\windows-server
Full Server, Core Server y Tres Opciones Diferentes Más; Full Server, Core Server y Tres Opciones Diferentes Mas.md; \servidores\windows-server
Migración del Group Policy Object; GPO Migracion.md; \servidores\windows-server
Windows Server 2012 – Papelera de Reciclaje de Active Directory; Papelera-de-Reciclaje-de-AD.md; \servidores\windows-server
Windows Server 2012 Essentials – Primeros pasos de administración; Primeros-pasos-de-administracion.md; \servidores\windows-server
Recuperando un documento de una base de datos de contenido desconectada SharePoint 2010; RecDocDeDB.md; \servidores\windows-server
Renombrar Domain Controller ADDS 2008R2; RenombrarDC2008R2.md; \servidores\windows-server
Generando Unidades Organizativas en Active Directory; UnidadesOrgOnAD.md; \servidores\windows-server
¿Qué hay de nuevo en el 2012 R2? Haciendo a los usuarios de dispositivos más Productivos y Protegiendo de información corporativa; usuarios de dispositivos.md; \servidores\windows-server
Hyper-V vNext Virtual Machine Configuration Version; vNext VM Config.md; \servidores\windows-server
Windows Server 2012 – Windows PowerShell Web Access; Windows-PowerShell-Web-Access.md; \servidores\windows-server
Aplicaciones de servicio en SharePoint 2013 - I: Introducción y funcionalidad; Aplicaciones de servicio en SharePoint 2013 (I).md; \servidores
Aplicaciones de servicio en SharePoint 2013: Introducción y funcionalidad; Aplicaciones de servicio en SharePoint 2013.md; \servidores
Cómo hacer un backup en Azure desde SSMS 2014; Backup en Windows Azure desde SSMS 2014.md; \servidores
Cómo hacer Backup y Restaurar un Modelo MDS (Deploy); Backup y Restaurar un Modelo MDS.md; \servidores
Cómo crear una tabla que presente repeticiones de rangos de números; Como crear una tabla que presente repeticiones de rangos de numeros.md; \servidores
El Centro de Exhibición de Documentos Electrónicos de SharePoint Server 2013; DiscoveryCenterSharePoint2013.md; \servidores
Edge Server en Lync 2013 “No Replica” Troubleshooting; Edge Server en Lync 2013 No Replica Troubleshooting.md; \servidores
Funcionalidades de CM 2012; Funcionalidades de CM 2012.md; \servidores
Guía de Migración de Objetos -Job- paso a paso; Guia de Migracion de Objetos Job.md; \servidores
Guía Migración de Objetos (Conexión) desde Configuration Manager 2007 a CM 2012; Guia Migracion de Objetos.md; \servidores
Hyper-V: Implementación Rápida de Máquinas Virtuales; Implementacion Rapida de Maquinas Virtuales.md; \servidores
Instalando Forefront Security for Office Communications Server; Instalando Forefront Security.md; \servidores
Integrando Lync 2013 y Exchange 2013 para mensajería unificada y Outlook Voice; Integrando Lync 2013 y Exchange 2013 para OVA.md; \servidores
Jerarquía Configuration Manager 2012; Jerarquia CM2012.md; \servidores
LAB Virtual WS 2012 y Windows 8 [Parte 1] – Creación de la Máquina Virtual y Configuración de Hyper-V en Windows Server 2012; LAB Virtual WS 2012 y Windows 8 Parte 1.md; \servidores
LAB Virtual WS 2012 y Windows 8 [Parte 2] – Instalación y Configuración en Windows Server 2012 de los roles: Active Directory, DNS, DHCP; LAB Virtual WS 2012 y Windows 8 Parte 2.md; \servidores
LAB Virtual WS 2012 y Windows 8 [Parte 3] – Instalación y Configuración en Windows Server 2012 de Windows Deployment Services; LAB Virtual WS 2012 y Windows 8 Parte 3.md; \servidores
LAB Virtual WS 2012 y Windows 8 [Parte 4] – Agregando las imágenes de Windows 8 a WDS y haciendo el despliegue mediante la red; LAB Virtual WS 2012 y Windows 8 Parte 4.md; \servidores
False; LAB Virtual WS 2012 y Windows 8 Parte 5.md; \servidores
Lo nuevo en System Center 2012 R2 Configuration Manager; Lo nuevo en System Center 2012 R2 Configuration Manager.md; \servidores
Los comandos que más uso de Powershell en Lync; Los comandos que mas uso de Powershell en Lync.md; \servidores
Microsoft Dynamics NAV en el Cloud; Microsoft Dynamics NAV en el Cloud.md; \servidores
Paso a Paso - Administración de Lync Online con Powershell; Paso a Paso - Administracion de Lync Online con Powershell.md; \servidores
Paso a Paso - Integrando Microsoft Exchange 2013 y Microsoft Lync 2013; Paso a Paso - Integrando Exchange 2013 y Lync 2013.md; \servidores
Paso a paso Migrando de Lync 2013 a Skype4B InPlace; Paso a paso Migrando de Lync 2013 a Skype4B.md; \servidores
Windows Server 2012 Essentials – Primeros pasos de administración; Primeros pasos de administracion.md; \servidores
Qué hay de nuevo en CM 2012 SP1; Que hay de nuevo en CM 2012 SP1.md; \servidores
Paso a Paso -  Reporting Services en Azure; Reporting Services en Azure.md; \servidores
Roles de Site System en CM 2012; Roles de Site System en CM 2012.md; \servidores
Script para permitir a las bibliotecas abrir los archivos PDFS en SharePoint 2010; Script per PDFs en Sharepoint.md; \servidores
Servicios de SharePoint 2013 - III: Programando un Servicio propio; Servicios de SharePoint 2013.md; \servidores
Servicios InterGranjas para Gobiernos Corporativos y Administrativos con SharePoint 2010; Servicios InterGranjas.md; \servidores
SharePoint 2010 y Open XML SDK. Creación de informes personalizados; SharePoint_OpenXML.md; \servidores
Azure Web Sites – Administración de Web Sites con el Azure Explorer; Administracion-con-Azure-Explorer.md; \web-dev\Dev
Cambios automáticos entre HTTP y HTTPS desde ASP.NET; Cambios-automáticos-entre-HTTP-y-HTTPS.md; \web-dev\Dev
Condicionales y ciclos en JSRender; Condicionales-y-ciclos-en-JSRender.md; \web-dev\Dev
Modern IE un conjunto de herramientas para hardcore web developers; Conjunto-de-tool-para-hardcore-web-developers.md; \web-dev\Dev
CSS. Menús flotantes; CSS-Menus-flotantes.md; \web-dev\Dev
[ASP.NET MVC] Implementando un CustomUserValidator en ASPNET Identity; Implementando un CustomUserValidator en ASPNET Identity.md; \web-dev\Dev
La pesadilla de los web.config Gigantes; La-pesadilla-de-los-web_config-Gigantes.md; \web-dev\Dev
Micro-datos. Semántica real en la Web; Microdata.md; \web-dev\Dev
Servicio WebMail ASP.NET; Servicio-WebMail-ASP-NET.md; \web-dev\Dev
Servicios REST en WCF – Mucho trabajo mismo resultado; Servicios-REST-en-WCF.md; \web-dev\Dev
Subiendo un archivo a un servidor FTP con un FileUpload; Subiendo-un-archivo-a-un-servidor-FTP.md; \web-dev\Dev
Tutorial WebMatrix. Tema 3 – 7. Web social. Sitio basado en Drupal; Tutorial-WebMatrix-Tema-3–7.md; \web-dev\Dev
Ventanas Modales en WPF; Ventanas-Modales-en-WPF.md; \web-dev\Dev
Explorando el DOM: Clonación, adición y edición de nodos y elementos; Clonacion-adicion-y-edicionde-nodos-y-elementos.md; \web-dev\DOM
Explorando el DOM: Nodos de texto. Creación, propiedades y métodos; Creacion-propiedades-y-metodos.md; \web-dev\DOM
Explorando el DOM: Inserción y extracción de nodos y elementos; Inserción-y-extracción-de-nodos-y-elementos.md; \web-dev\DOM
Explorando el DOM: Nodo document. Nodos hijo; Nodo document-Nodos hijo.md; \web-dev\DOM
Explorando el DOM: Nodo Document; Nodo-Document.md; \web-dev\DOM
Explorando el DOM: Nodos de texto. Gestión multinodal; Nodos-de-texto-Gestion-multinodal.md; \web-dev\DOM
Explorando el DOM: Nodos de texto. Gestión multinodal; Nodos-de-texto_Gestión-multinodal.md; \web-dev\DOM
Explorando el DOM: Nodos de texto. Obtención y manipulación; Nodos-de-texto_Obtencion-y-manipulacion.md; \web-dev\DOM
Explorando el DOM: Objeto element. Atributos Class e ID; Objeto-element_Atributos-Class-e-ID.md; \web-dev\DOM
Explorando el DOM: Objeto element. Atributos y su gestión; Objeto-element_Atributos-y-su-gestion.md; \web-dev\DOM
Explorando el DOM: Objeto element. Creación, propiedades y métodos; Objeto-element_Creacion-propiedades-y-metodos.md; \web-dev\DOM
Explorando el DOM: Objeto element. Objeto y atributo Style (Inline Styles); Objeto-element_Objeto-y-atributo-Style.md; \web-dev\DOM
Explorando el DOM: Objeto element. Propiedad classList; Objeto-element_Propiedad-classList.md; \web-dev\DOM
Explorando el DOM: Objeto element. Selección de elementos I; Seleccion-de-elementos-I.md; \web-dev\DOM
Explorando el DOM: Objeto element. Selección de elementos II; Seleccion-de-elementos-II.md; \web-dev\DOM
Explorando el DOM: Tipos de nodos y sus atributos generales; Tipos-de-nodos-y-atributos.md; \web-dev\DOM
Almacenamiento de datos en HTML 5 - WebStorage; Almacenamiento-de-datos-en-HTML5.md; \web-dev\HTML5
HTML 5 Storage. Comunicación entre ventanas; HTML-5 Storage-Comunicación-entre-ventanas.md; \web-dev\HTML5
Trabajando con el storage de HTML5 parte I; Trabajando-con-el-storage-de-HTML5–parte-I.md; \web-dev\HTML5
Internet Explorer 11: El Depurador; IE11-El-Depurador.md; \web-dev\IE11
Internet Explorer 11: El Explorador de red; IE11-El-Explorador-de-red.md; \web-dev\IE11
Internet Explorer 11: El Explorador DOM; IE11-El-Explorador-DOM.md; \web-dev\IE11
Internet Explorer 11: La consola de salida de texto; IE11-La-consola-de-salida-de-texto.md; \web-dev\IE11
Internet Explorer 11 Modo de Lectura (Reading View); IE11-Modo-de-Lectura.md; \web-dev\IE11
jQuery UI Accordion. Manual de uso básico; jQuery-UI-Accordion-Manual-de-uso-básico.md; \web-dev\jQuery
jQuery UI Accordion. Manual de uso avanzado; jQuery-UI-Accordion_Manual-de-uso-avanzado.md; \web-dev\jQuery
jQuery UI contextMenu. Manual de uso básico; jQuery-UI-contextMenu-Manual-de-uso-basico.md; \web-dev\jQuery
jQuery UI contextMenu. Manual de uso avanzado; jQuery-UI-contextMenu_Manual-de-uso-avanzado.md; \web-dev\jQuery
jQuery UI contextMenu. Apéndice HTML 5. Personalización; jQuery-UI-contextMenu_Personalización.md; \web-dev\jQuery
jQuery UI Tabs. Manual de uso avanzado; jQuery-UI-Tabs_Manual-de-uso-avanzado.md; \web-dev\jQuery
jQuery UI Tabs. Manual de uso básico; jQuery-UI-Tabs_Manual-de-uso-basico.md; \web-dev\jQuery
[ASP.NET MVC] Cargando datos con WebAPI y JSRender; Cargando-datos-con-WebAPI-y-JSRender.md; \web-dev\MVC
[ASP.NET MVC] Creando una factoría de controladores personalizada; Creando-una-factoria-de-controladores-personalizada.md; \web-dev\MVC
[ASP.NET MVC] Soporte para enumeraciones en ASP.NET MVC 5.1; Enumeraciones-en-ASP-NET-MVC 5.1.md; \web-dev\MVC
[ASP.NET MVC] Estableciendo reglas de validación; Estableciendo-reglas-devalidacion.md; \web-dev\MVC
[ASP.NET MVC] Implementando autenticación con Azure Active Directory; Implementando-autenticación-con-AAD.md; \web-dev\MVC
[ASP.NET MVC] Implementando Cache con Azure Cache; Implementando-Cache-con-Azure-Cache.md; \web-dev\MVC
[ASP.NET MVC] Implementando el helper chart de Kendo UI; Implementando-el-helper-chart-de-Kendo-UI.md; \web-dev\MVC
[ASP.NET MVC] Implementando un CustomPasswordValidator en ASPNET Identity; Implementando-un-CustomPasswordValidator-en-ASPNET-Identity.md; \web-dev\MVC
[ASP.NET MVC] Integrando ASPNET MVC con MongoLab; Integrando-ASPNET-MVC-con-MongoLab.md; \web-dev\MVC
[ASP.NET MVC] Inyectando dependencias con Microsoft Unity; Inyectando-dependencias-con-Microsoft-Unity.md; \web-dev\MVC
[ASP.NET Web API] Web API IX – Consumiendo un servicio externo, CORS; Consumiendo-un-servicio-externo.md; \web-dev\WebAPI
[ASP.NET Web API] Web API II – Creando un CRUD, trabajando con verbos HTTP; Creando-un-CRUD.md; \web-dev\WebAPI
[ASP.NET Web API] Web API V – Filtros de acción; Filtros-de-accion.md; \web-dev\WebAPI
[ASP.NET Web API] Generando páginas de ayuda y documentación; Generando-paginas-de-ayuda-y-documentacion.md; \web-dev\WebAPI
[ASP.NET Web API] HTTPActionResult, ahora en Web API 2; HttpActionResult-ahora-en-Web-API-2.md; \web-dev\WebAPI
[ASP.NET Web API] Web API VI – Implementando Caché; Implementando-Cache.md; \web-dev\WebAPI
[ASP.NET Web API] Web API IV – Implementando Knockoutjs; Implementando-Knockoutjs.md; \web-dev\WebAPI
[ASP.NET Web API] Web API VII – Message Handlers; Message-Handlers.md; \web-dev\WebAPI
[ASP.NET Web API] Web API I – Mi primer proyecto; Mi-primer-proyecto.md; \web-dev\WebAPI
[ASP.NET Web API] Personalizando la serialización de los objetos en JSON; Serializacion-de-objetos-en-JSON.md; \web-dev\WebAPI
[ASP.NET Web API] Subiendo archivo con jQuery y Web API; Subiendo archivo con jQuery y Web API.md; \web-dev\WebAPI
[ASP.NET Web API] Web API VIII – Trabajando con ActionName; Trabajando-con-ActionName.md; \web-dev\WebAPI
[ASP.NET Web API] Web API III – Consumiendo el servicio; Web-API-III_Consumiendo-el-servicio.md; \web-dev\WebAPI
WebAPI & oData Queries; WebAPI-oData-Queries.md; \web-dev\WebAPI
¿Qué es el bucle de mensajes, message loop o WndProc?; Bucle-de-mensajes.md; \win-dev\Dev
Cargando datos en paralelo con Parallel.Invoke; Cargando-datos-en-paralelo-con-Parallel-Invoke.md; \win-dev\Dev
Forms - Recibir notificaciones cuando hay cambios de sesión; Recibir-notificaciones-cuando-hay-cambios-de-sesion.md; \win-dev\Dev
Windows Modern UI -  Bases de datos locales en aplicaciones (I); Windows-Modern-UI-BD.md; \win-dev\ModernUI
Windows Modern UI -  Bases de datos locales en aplicaciones (II); Windows-Modern-UI-BD2.md; \win-dev\ModernUI
Modern UI: Acceso al hardware (I): GPS y Bing Maps SDK; Windows-Modern-UI-GPS-Bing-Maps-SDK.md; \win-dev\ModernUI
Modern UI:  GridView; Windows-Modern-UI-GridView.md; \win-dev\ModernUI
Modern UI: IoC & MVVM; Windows-Modern-UI-IoC-MVVM.md; \win-dev\ModernUI
Modern UI: Acceso al hardware (II): Sensores; Windows-Modern-UI-Sensores.md; \win-dev\ModernUI
Modern UI Tip: Crear un control de rating; Windows-Modern-UI-Tip-control-de-rating.md; \win-dev\ModernUI
Windows Modern UI - Acceso al hardware (I) - GPS y Bing Maps SDK; Windows-ModernUI_ GPS-y-Bing-Maps.md; \win-dev\ModernUI
Sistemas Operativos - Manejador de procesos - Fundamentos; Manejador-de-procesos-Fundamentos.md; \win-dev\OS
Sistemas Operativos – Manejador de procesos – Los Threads; Manejador-de-procesos-Los-Threads.md; \win-dev\OS
Sistemas Operativos – Manejador de procesos – Los Procesos; Manejador-de-procesos-Procesos.md; \win-dev\OS
WPF – Hacer tus aplicaciones con tamaño de fuente responsive; Aplicaciones-con-fuente-responsive.md; \win-dev\WPF
Cómo obtener un manejador (handle) para una ventana de WPF; Como-obtener-un-manejador-para-una-ventana-WPF.md; \win-dev\WPF
Como usar el WndProc en una Ventana WPF; Como-usar-el-WndProc-en-una-Ventana-WPF.md; \win-dev\WPF
WPF - Recibir notificaciones cuando hay cambios de sesión; WPF-Recibir-notificaciones-cuando-hay-cambios-de-sesion.md; \win-dev\WPF
True; index.md; 
